customer_id,gender,age,annual_income_k,spending_score,segment_id,segment_name
0098,Female,27,60,50,1,Emergente
0099,Male,48,61,42,4,Estable
0100,Male,20,61,49,1,Emergente
0101,Female,23,62,41,1,Emergente
0102,Female,49,62,48,4,Estable
0103,Male,67,62,59,4,Estable
0104,Male,26,62,55,1,Emergente
0105,Male,49,62,56,4,Estable
0106,Female,21,62,42,1,Emergente
0107,Female,66,63,50,4,Estable
0108,Male,54,63,46,4,Estable
0109,Male,68,63,43,4,Estable
0110,Male,66,63,48,4,Estable
0111,Male,65,63,52,4,Estable
0112,Female,19,63,54,1,Emergente
0113,Female,38,64,42,3,Ahorrador patrimonial
0114,Male,19,64,46,1,Emergente
0115,Female,18,65,48,1,Emergente
0116,Female,19,65,50,1,Emergente
0117,Female,63,65,43,4,Estable
0118,Female,49,65,59,4,Estable
0119,Female,51,67,43,4,Estable
0120,Female,50,67,57,4,Estable
0121,Male,27,67,56,1,Emergente
0122,Female,38,67,40,3,Ahorrador patrimonial
0123,Female,40,69,58,2,Premium
0124,Male,39,69,91,2,Premium
0125,Female,23,70,29,3,Ahorrador patrimonial
0126,Female,31,70,77,2,Premium
0127,Male,43,71,35,3,Ahorrador patrimonial
0128,Male,40,71,95,2,Premium
0129,Male,59,71,11,3,Ahorrador patrimonial
0130,Male,38,71,75,2,Premium
0131,Male,47,71,9,3,Ahorrador patrimonial
0132,Male,39,71,75,2,Premium
0133,Female,25,72,34,3,Ahorrador patrimonial
0134,Female,31,72,71,2,Premium
0135,Male,20,73,5,3,Ahorrador patrimonial
0136,Female,29,73,88,2,Premium
0137,Female,44,73,7,3,Ahorrador patrimonial
0138,Male,32,73,73,2,Premium
0139,Male,19,74,10,3,Ahorrador patrimonial
0140,Female,35,74,72,2,Premium
0141,Female,57,75,5,3,Ahorrador patrimonial
0142,Male,32,75,93,2,Premium
0143,Female,28,76,40,3,Ahorrador patrimonial
0144,Female,32,76,87,2,Premium
0145,Male,25,77,12,3,Ahorrador patrimonial
0146,Male,28,77,97,2,Premium
0147,Male,48,77,36,3,Ahorrador patrimonial
0148,Female,32,77,74,2,Premium
0149,Female,34,78,22,3,Ahorrador patrimonial
0150,Male,34,78,90,2,Premium
0151,Male,43,78,17,3,Ahorrador patrimonial
0152,Male,39,78,88,2,Premium
0153,Female,44,78,20,3,Ahorrador patrimonial
0154,Female,38,78,76,2,Premium
0155,Female,47,78,16,3,Ahorrador patrimonial
0156,Female,27,78,89,2,Premium
0157,Male,37,78,1,3,Ahorrador patrimonial
0158,Female,30,78,78,2,Premium
0159,Male,34,78,1,3,Ahorrador patrimonial
0160,Female,30,78,73,2,Premium
0161,Female,56,79,35,4,Estable
0162,Female,29,79,83,2,Premium
0163,Male,19,81,5,3,Ahorrador patrimonial
0164,Female,31,81,93,2,Premium
0165,Male,50,85,26,3,Ahorrador patrimonial
0166,Female,36,85,75,2,Premium
0167,Male,42,86,20,3,Ahorrador patrimonial
0168,Female,33,86,95,2,Premium
0169,Female,36,87,27,3,Ahorrador patrimonial
0170,Male,32,87,63,2,Premium
0171,Male,40,87,13,3,Ahorrador patrimonial
0172,Male,28,87,75,2,Premium
0173,Male,36,87,10,3,Ahorrador patrimonial
0174,Male,36,87,92,2,Premium
0175,Female,52,88,13,3,Ahorrador patrimonial
0176,Female,30,88,86,2,Premium
0177,Male,58,88,15,3,Ahorrador patrimonial
0178,Male,27,88,69,2,Premium
0179,Male,59,93,14,3,Ahorrador patrimonial
0180,Male,35,93,90,2,Premium
0181,Female,37,97,32,3,Ahorrador patrimonial
0182,Female,32,97,86,2,Premium
0183,Male,46,98,15,3,Ahorrador patrimonial
0184,Female,29,98,88,2,Premium
0185,Female,41,99,39,3,Ahorrador patrimonial
0186,Male,30,99,97,2,Premium
0187,Female,54,101,24,3,Ahorrador patrimonial
0188,Male,28,101,68,2,Premium
0189,Female,41,103,17,3,Ahorrador patrimonial
0190,Female,36,103,85,2,Premium
0191,Female,34,103,23,3,Ahorrador patrimonial
0192,Female,32,103,69,2,Premium
0193,Male,33,113,8,3,Ahorrador patrimonial
0194,Female,38,113,91,2,Premium
0195,Female,47,120,16,3,Ahorrador patrimonial
0196,Female,35,120,79,2,Premium
0197,Female,45,126,28,3,Ahorrador patrimonial
0198,Male,32,126,74,2,Premium
0199,Male,32,137,18,3,Ahorrador patrimonial
0200,Male,30,137,83,2,Premium
